'closed position',5.0,6.0,10.0,4.0,7.0,9.0,5.0,9.0,6.0,9.0,8.0,7.0,6.0,5.0,8.0,6.0,1.0,7.0,2.0,8.0,4.0,7.0,8.0,12.0,7.0,8.0,4.0,6.0,5.0,7.0,4.0,11.0,7.0,6.0,9.0,10.0,5.0,9.0,14.0,11.0,7.0,5.0,7.0,7.0,11.0,12.0,15.0,11.0,7.0,8.0,5.0,5.0,9.0
'pharmaceutical composition',7.0,6.0,1.0,5.0,12.0,6.0,11.0,12.0,7.0,5.0,9.0,11.0,13.0,3.0,8.0,10.0,5.0,7.0,3.0,11.0,12.0,17.0,22.0,12.0,13.0,6.0,16.0,17.0,13.0,15.0,9.0,16.0,21.0,22.0,14.0,22.0,7.0,18.0,14.0,14.0,19.0,19.0,23.0,20.0,14.0,15.0,10.0,25.0,11.0,14.0,13.0,26.0,12.0
'computer system',6.0,8.0,9.0,6.0,7.0,9.0,6.0,8.0,7.0,9.0,6.0,7.0,6.0,7.0,8.0,13.0,7.0,7.0,8.0,8.0,9.0,11.0,10.0,9.0,11.0,5.0,8.0,9.0,14.0,9.0,8.0,11.0,8.0,13.0,7.0,6.0,10.0,19.0,11.0,13.0,6.0,7.0,14.0,18.0,6.0,12.0,9.0,10.0,14.0,5.0,19.0,13.0,10.0
'pharmaceutically acceptable salt',4.0,6.0,2.0,3.0,3.0,4.0,1.0,5.0,11.0,3.0,4.0,2.0,7.0,7.0,8.0,5.0,6.0,2.0,3.0,8.0,6.0,9.0,10.0,13.0,7.0,3.0,9.0,6.0,8.0,8.0,11.0,5.0,11.0,6.0,11.0,6.0,7.0,10.0,15.0,6.0,18.0,11.0,7.0,9.0,6.0,9.0,6.0,6.0,9.0,6.0,4.0,12.0,13.0
'fluid communication',3.0,5.0,6.0,4.0,9.0,9.0,3.0,6.0,7.0,6.0,7.0,5.0,5.0,3.0,3.0,5.0,11.0,5.0,7.0,4.0,5.0,10.0,8.0,7.0,6.0,7.0,11.0,10.0,6.0,8.0,11.0,5.0,8.0,16.0,7.0,11.0,5.0,11.0,14.0,9.0,7.0,14.0,8.0,12.0,11.0,7.0,11.0,13.0,6.0,9.0,10.0,13.0,12.0
'power supply',2.0,3.0,6.0,4.0,6.0,8.0,6.0,7.0,3.0,10.0,5.0,4.0,4.0,10.0,4.0,11.0,6.0,10.0,7.0,12.0,4.0,10.0,7.0,5.0,5.0,8.0,9.0,8.0,8.0,12.0,12.0,10.0,11.0,10.0,11.0,14.0,6.0,11.0,15.0,7.0,9.0,12.0,10.0,18.0,12.0,14.0,15.0,10.0,11.0,10.0,11.0,12.0,6.0
'client device',0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,6.0,2.0,0.0,6.0,6.0,4.0,1.0,6.0,6.0,4.0,7.0,6.0,11.0,4.0,4.0,5.0,15.0,14.0,7.0,13.0,16.0,10.0
'control signal',7.0,4.0,7.0,10.0,7.0,6.0,8.0,8.0,7.0,5.0,6.0,4.0,7.0,9.0,4.0,13.0,7.0,15.0,8.0,10.0,7.0,5.0,12.0,10.0,12.0,8.0,5.0,13.0,10.0,7.0,11.0,13.0,11.0,8.0,18.0,9.0,9.0,14.0,14.0,10.0,11.0,7.0,16.0,14.0,13.0,10.0,15.0,15.0,9.0,12.0,16.0,17.0,14.0
'far provide',3.0,5.0,3.0,3.0,1.0,8.0,4.0,3.0,6.0,4.0,3.0,6.0,3.0,5.0,5.0,3.0,6.0,2.0,9.0,5.0,2.0,6.0,5.0,2.0,6.0,6.0,7.0,9.0,6.0,6.0,9.0,10.0,6.0,8.0,8.0,8.0,11.0,8.0,4.0,14.0,7.0,13.0,12.0,10.0,10.0,6.0,7.0,11.0,16.0,11.0,8.0,10.0,9.0
'main body',2.0,6.0,6.0,5.0,4.0,8.0,3.0,3.0,5.0,5.0,4.0,3.0,7.0,5.0,2.0,4.0,4.0,1.0,1.0,9.0,2.0,6.0,2.0,7.0,4.0,8.0,7.0,5.0,6.0,8.0,11.0,13.0,9.0,10.0,6.0,3.0,10.0,4.0,9.0,12.0,10.0,8.0,11.0,17.0,10.0,8.0,2.0,7.0,7.0,12.0,3.0,8.0,12.0
'inner surface',4.0,11.0,17.0,4.0,8.0,7.0,8.0,13.0,9.0,7.0,13.0,6.0,3.0,7.0,7.0,4.0,3.0,5.0,6.0,5.0,12.0,8.0,10.0,8.0,7.0,9.0,6.0,11.0,9.0,13.0,11.0,12.0,11.0,14.0,10.0,11.0,8.0,9.0,12.0,10.0,13.0,13.0,13.0,13.0,7.0,15.0,10.0,13.0,6.0,18.0,16.0,16.0,11.0
'longitudinal direction',4.0,8.0,5.0,1.0,8.0,5.0,5.0,6.0,4.0,3.0,1.0,6.0,4.0,3.0,5.0,7.0,3.0,4.0,6.0,6.0,6.0,4.0,6.0,5.0,9.0,4.0,5.0,8.0,11.0,6.0,6.0,8.0,12.0,11.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,9.0,12.0,9.0,9.0,7.0,13.0,16.0,5.0,10.0,12.0,6.0,12.0
'internal combustion engine',7.0,14.0,6.0,10.0,12.0,10.0,11.0,5.0,14.0,9.0,6.0,7.0,7.0,11.0,9.0,12.0,8.0,6.0,6.0,11.0,2.0,10.0,17.0,11.0,10.0,7.0,12.0,9.0,4.0,7.0,16.0,11.0,12.0,11.0,10.0,14.0,11.0,9.0,12.0,14.0,8.0,13.0,5.0,14.0,9.0,10.0,16.0,10.0,8.0,16.0,9.0,8.0,10.0
'insulating layer',2.0,2.0,2.0,2.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,7.0,1.0,3.0,1.0,1.0,7.0,2.0,1.0,7.0,5.0,9.0,3.0,6.0,7.0,5.0,5.0,3.0,3.0,5.0,4.0,6.0,3.0,5.0,2.0,8.0,8.0,5.0,6.0,5.0,6.0,11.0,7.0,6.0,6.0,11.0,6.0,8.0,15.0,8.0,5.0
'input signal',2.0,16.0,10.0,4.0,4.0,5.0,5.0,6.0,10.0,8.0,5.0,9.0,8.0,5.0,7.0,11.0,7.0,12.0,11.0,4.0,10.0,8.0,13.0,11.0,8.0,11.0,8.0,13.0,8.0,8.0,8.0,11.0,5.0,9.0,11.0,16.0,10.0,14.0,11.0,9.0,10.0,9.0,11.0,11.0,8.0,9.0,13.0,10.0,8.0,13.0,15.0,6.0,6.0
'bottom surface',3.0,4.0,6.0,3.0,7.0,5.0,12.0,7.0,6.0,3.0,9.0,7.0,2.0,6.0,3.0,3.0,6.0,2.0,2.0,5.0,8.0,8.0,11.0,6.0,3.0,11.0,9.0,11.0,7.0,12.0,5.0,14.0,9.0,5.0,10.0,10.0,8.0,9.0,11.0,11.0,11.0,7.0,10.0,15.0,10.0,8.0,7.0,8.0,15.0,16.0,14.0,9.0,8.0
'liquid crystal display',4.0,11.0,11.0,5.0,8.0,6.0,5.0,5.0,10.0,8.0,10.0,7.0,4.0,8.0,9.0,11.0,10.0,12.0,13.0,15.0,11.0,12.0,13.0,12.0,9.0,9.0,14.0,7.0,7.0,10.0,6.0,14.0,14.0,7.0,13.0,11.0,14.0,15.0,8.0,6.0,10.0,11.0,9.0,9.0,13.0,9.0,9.0,10.0,13.0,14.0,10.0,12.0,9.0
'upper surface',7.0,7.0,1.0,7.0,4.0,5.0,8.0,6.0,6.0,6.0,5.0,11.0,4.0,7.0,7.0,8.0,6.0,14.0,6.0,12.0,7.0,6.0,5.0,14.0,6.0,12.0,7.0,8.0,12.0,9.0,4.0,10.0,6.0,8.0,8.0,15.0,5.0,12.0,6.0,11.0,9.0,11.0,17.0,7.0,8.0,23.0,7.0,13.0,14.0,13.0,12.0,12.0,11.0
'storage device',1.0,1.0,4.0,2.0,1.0,5.0,3.0,7.0,4.0,7.0,0.0,4.0,4.0,1.0,3.0,5.0,6.0,5.0,2.0,7.0,6.0,1.0,6.0,8.0,5.0,15.0,6.0,4.0,8.0,13.0,7.0,8.0,3.0,9.0,7.0,3.0,6.0,7.0,12.0,9.0,11.0,5.0,9.0,13.0,7.0,11.0,9.0,8.0,10.0,3.0,7.0,9.0,10.0
'longitudinal axis',5.0,5.0,4.0,6.0,7.0,3.0,3.0,7.0,3.0,9.0,5.0,6.0,3.0,6.0,8.0,12.0,4.0,4.0,10.0,9.0,5.0,11.0,7.0,2.0,6.0,7.0,8.0,9.0,9.0,13.0,13.0,12.0,8.0,7.0,5.0,12.0,14.0,13.0,6.0,6.0,4.0,12.0,13.0,11.0,16.0,8.0,11.0,9.0,17.0,16.0,12.0,13.0,10.0
'gate electrode',11.0,12.0,5.0,2.0,9.0,3.0,4.0,9.0,4.0,4.0,6.0,3.0,3.0,7.0,6.0,7.0,6.0,6.0,4.0,11.0,3.0,13.0,10.0,15.0,5.0,8.0,10.0,11.0,8.0,8.0,7.0,10.0,9.0,6.0,10.0,10.0,5.0,7.0,9.0,11.0,8.0,8.0,10.0,11.0,9.0,16.0,6.0,5.0,4.0,11.0,8.0,11.0,9.0
'circuit board',6.0,8.0,4.0,0.0,3.0,7.0,3.0,16.0,5.0,4.0,6.0,9.0,4.0,8.0,8.0,6.0,3.0,7.0,3.0,7.0,3.0,8.0,12.0,7.0,9.0,8.0,10.0,10.0,8.0,7.0,13.0,7.0,8.0,7.0,7.0,9.0,9.0,9.0,11.0,7.0,7.0,9.0,9.0,8.0,7.0,8.0,6.0,11.0,9.0,10.0,4.0,6.0,11.0
'memory device',1.0,2.0,7.0,3.0,2.0,2.0,8.0,9.0,5.0,6.0,4.0,3.0,2.0,12.0,6.0,3.0,2.0,2.0,4.0,7.0,3.0,7.0,6.0,7.0,3.0,8.0,5.0,11.0,6.0,9.0,8.0,7.0,10.0,8.0,5.0,10.0,4.0,6.0,5.0,10.0,8.0,13.0,10.0,16.0,6.0,13.0,9.0,9.0,4.0,4.0,8.0,6.0,11.0
'output signal',6.0,9.0,13.0,6.0,7.0,13.0,7.0,9.0,11.0,10.0,8.0,9.0,5.0,9.0,3.0,15.0,3.0,9.0,8.0,12.0,13.0,13.0,8.0,10.0,8.0,5.0,5.0,17.0,14.0,12.0,8.0,11.0,4.0,11.0,12.0,10.0,10.0,11.0,6.0,9.0,11.0,11.0,4.0,14.0,8.0,13.0,8.0,11.0,11.0,11.0,15.0,7.0,6.0
'semiconductor substrate',10.0,21.0,11.0,7.0,14.0,10.0,11.0,11.0,7.0,7.0,15.0,14.0,8.0,16.0,10.0,8.0,11.0,13.0,11.0,13.0,9.0,18.0,16.0,22.0,19.0,18.0,14.0,12.0,15.0,9.0,18.0,14.0,13.0,9.0,22.0,18.0,9.0,11.0,15.0,12.0,10.0,13.0,15.0,17.0,15.0,14.0,17.0,10.0,7.0,17.0,20.0,9.0,13.0
