'mobile device',19.0,24.0,22.0,36.0,45.0,48.0,60.0,45.0,45.0,37.0,57.0,72.0,70.0,68.0,53.0,74.0,66.0,83.0,82.0,112.0,90.0,116.0,134.0,121.0,141.0,173.0,183.0,231.0,215.0,303.0,346.0,384.0,344.0,405.0,480.0,561.0,420.0,567.0,713.0,694.0,550.0,641.0,707.0,856.0,665.0,792.0,782.0,795.0,734.0,840.0,902.0,875.0,693.0,783.0
'base station',93.0,142.0,159.0,184.0,165.0,222.0,223.0,226.0,168.0,162.0,128.0,171.0,152.0,150.0,151.0,155.0,159.0,176.0,173.0,200.0,166.0,227.0,228.0,229.0,249.0,249.0,314.0,345.0,350.0,380.0,495.0,471.0,412.0,491.0,580.0,544.0,479.0,635.0,689.0,658.0,541.0,546.0,611.0,752.0,507.0,669.0,653.0,672.0,519.0,612.0,654.0,652.0,533.0,545.0
'user equipment',13.0,14.0,15.0,20.0,15.0,23.0,20.0,23.0,26.0,26.0,18.0,23.0,21.0,25.0,20.0,26.0,23.0,34.0,25.0,36.0,21.0,47.0,40.0,63.0,51.0,66.0,82.0,119.0,91.0,126.0,187.0,198.0,169.0,226.0,261.0,300.0,263.0,325.0,449.0,451.0,358.0,414.0,432.0,617.0,425.0,580.0,586.0,617.0,482.0,635.0,652.0,642.0,574.0,600.0
'unit configure',7.0,8.0,10.0,6.0,19.0,17.0,15.0,22.0,23.0,22.0,26.0,34.0,39.0,41.0,36.0,51.0,43.0,64.0,67.0,87.0,62.0,120.0,113.0,149.0,162.0,146.0,194.0,221.0,204.0,301.0,324.0,352.0,299.0,355.0,374.0,379.0,318.0,470.0,495.0,495.0,460.0,489.0,560.0,639.0,534.0,593.0,531.0,569.0,531.0,589.0,560.0,613.0,515.0,608.0
'computer program product',68.0,77.0,102.0,84.0,105.0,121.0,153.0,138.0,126.0,114.0,115.0,187.0,116.0,175.0,171.0,157.0,197.0,230.0,214.0,300.0,213.0,352.0,377.0,370.0,368.0,331.0,397.0,407.0,394.0,465.0,530.0,529.0,479.0,500.0,629.0,640.0,554.0,619.0,673.0,715.0,565.0,613.0,733.0,787.0,712.0,732.0,699.0,710.0,772.0,765.0,781.0,762.0,663.0,733.0
'computing device',26.0,19.0,24.0,32.0,22.0,44.0,57.0,43.0,31.0,43.0,35.0,53.0,40.0,47.0,45.0,47.0,52.0,72.0,47.0,85.0,68.0,85.0,83.0,85.0,80.0,93.0,89.0,120.0,103.0,114.0,171.0,164.0,151.0,175.0,239.0,288.0,216.0,327.0,368.0,360.0,338.0,377.0,411.0,474.0,423.0,456.0,471.0,483.0,480.0,527.0,504.0,550.0,456.0,552.0
'user interface',67.0,103.0,121.0,112.0,113.0,159.0,182.0,149.0,169.0,154.0,152.0,149.0,144.0,177.0,138.0,190.0,167.0,235.0,230.0,265.0,234.0,311.0,338.0,309.0,294.0,309.0,297.0,319.0,325.0,382.0,391.0,425.0,377.0,408.0,501.0,509.0,435.0,557.0,611.0,553.0,444.0,532.0,564.0,604.0,516.0,556.0,543.0,579.0,564.0,626.0,604.0,613.0,499.0,587.0
'compute device',21.0,20.0,20.0,24.0,13.0,37.0,45.0,28.0,28.0,34.0,34.0,40.0,37.0,49.0,35.0,49.0,44.0,62.0,54.0,69.0,58.0,86.0,82.0,79.0,82.0,79.0,86.0,90.0,89.0,108.0,138.0,132.0,142.0,172.0,215.0,234.0,171.0,256.0,330.0,306.0,299.0,330.0,372.0,411.0,353.0,418.0,419.0,459.0,436.0,488.0,487.0,533.0,402.0,478.0
'wireless communication system',29.0,46.0,51.0,59.0,58.0,82.0,89.0,78.0,61.0,67.0,66.0,91.0,67.0,69.0,75.0,88.0,57.0,95.0,113.0,112.0,81.0,125.0,134.0,121.0,112.0,150.0,172.0,213.0,173.0,237.0,271.0,282.0,222.0,274.0,314.0,318.0,293.0,394.0,377.0,380.0,262.0,346.0,348.0,394.0,325.0,379.0,386.0,413.0,321.0,371.0,405.0,387.0,327.0,308.0
'pharmaceutical composition',216.0,241.0,210.0,217.0,167.0,350.0,326.0,324.0,265.0,291.0,287.0,223.0,227.0,321.0,271.0,278.0,242.0,284.0,318.0,356.0,329.0,439.0,439.0,418.0,349.0,383.0,420.0,470.0,406.0,544.0,452.0,539.0,523.0,563.0,573.0,609.0,528.0,650.0,617.0,638.0,535.0,640.0,590.0,632.0,509.0,564.0,598.0,636.0,529.0,691.0,665.0,645.0,534.0,627.0
