'channel characteristic',3.0,7.0,2.0,3.0,5.0,8.0,7.0,5.0,5.0,6.0,4.0,9.0,6.0,7.0,10.0,6.0,1.0,8.0,9.0,10.0,6.0,6.0,5.0,10.0,8.0,13.0,6.0,9.0,6.0,12.0,16.0,12.0,8.0,17.0,5.0,9.0,7.0,8.0,15.0,10.0,13.0,12.0,14.0,15.0,6.0,8.0,7.0,5.0,3.0,4.0,9.0,9.0,8.0,9.0
'expression level',2.0,8.0,4.0,7.0,4.0,10.0,6.0,10.0,8.0,11.0,4.0,5.0,5.0,13.0,6.0,6.0,9.0,6.0,12.0,15.0,9.0,15.0,15.0,12.0,18.0,17.0,18.0,15.0,18.0,18.0,14.0,9.0,11.0,8.0,14.0,26.0,24.0,18.0,18.0,17.0,8.0,18.0,17.0,17.0,12.0,16.0,16.0,30.0,16.0,24.0,29.0,25.0,16.0,19.0
'amplifier input',3.0,2.0,9.0,6.0,5.0,5.0,11.0,15.0,3.0,5.0,5.0,3.0,4.0,9.0,5.0,4.0,9.0,7.0,5.0,6.0,6.0,6.0,8.0,6.0,5.0,4.0,6.0,7.0,2.0,8.0,5.0,9.0,3.0,7.0,8.0,8.0,5.0,3.0,12.0,6.0,5.0,9.0,5.0,6.0,5.0,9.0,7.0,3.0,5.0,8.0,7.0,3.0,7.0,6.0
'axially displaceable',14.0,12.0,9.0,7.0,13.0,11.0,7.0,13.0,19.0,13.0,17.0,10.0,7.0,14.0,11.0,9.0,1.0,10.0,8.0,7.0,9.0,11.0,15.0,14.0,12.0,14.0,8.0,14.0,11.0,12.0,15.0,12.0,10.0,12.0,10.0,16.0,15.0,10.0,13.0,20.0,14.0,13.0,12.0,19.0,12.0,16.0,17.0,12.0,14.0,17.0,15.0,15.0,14.0,18.0
'fall edge',17.0,16.0,15.0,26.0,15.0,11.0,22.0,28.0,14.0,15.0,17.0,20.0,15.0,7.0,13.0,21.0,21.0,15.0,12.0,14.0,14.0,16.0,20.0,18.0,17.0,12.0,19.0,13.0,17.0,12.0,20.0,21.0,15.0,15.0,26.0,15.0,13.0,22.0,24.0,16.0,11.0,11.0,20.0,18.0,14.0,13.0,14.0,17.0,22.0,21.0,21.0,14.0,9.0,18.0
'intermediate signal',8.0,2.0,9.0,11.0,13.0,7.0,18.0,13.0,10.0,7.0,7.0,11.0,10.0,7.0,3.0,9.0,2.0,7.0,9.0,10.0,10.0,10.0,11.0,11.0,6.0,6.0,8.0,12.0,8.0,15.0,9.0,7.0,8.0,11.0,6.0,10.0,4.0,10.0,16.0,11.0,6.0,5.0,13.0,16.0,6.0,12.0,11.0,6.0,9.0,5.0,9.0,9.0,5.0,6.0
'ovarian cancer',5.0,3.0,2.0,3.0,6.0,8.0,4.0,1.0,2.0,13.0,6.0,2.0,4.0,5.0,6.0,3.0,13.0,4.0,2.0,4.0,10.0,11.0,6.0,6.0,7.0,14.0,8.0,7.0,7.0,12.0,12.0,11.0,8.0,10.0,17.0,3.0,13.0,8.0,7.0,15.0,10.0,8.0,7.0,18.0,19.0,10.0,16.0,13.0,8.0,7.0,14.0,16.0,16.0,17.0
'virtual memory',1.0,3.0,2.0,9.0,6.0,6.0,11.0,8.0,4.0,5.0,4.0,10.0,4.0,8.0,7.0,5.0,9.0,9.0,7.0,10.0,11.0,10.0,11.0,9.0,10.0,14.0,8.0,11.0,10.0,7.0,19.0,13.0,10.0,15.0,15.0,8.0,10.0,11.0,18.0,11.0,10.0,9.0,8.0,13.0,13.0,17.0,13.0,16.0,17.0,9.0,14.0,13.0,19.0,17.0
'transmission portion',2.0,3.0,1.0,2.0,3.0,4.0,6.0,12.0,4.0,5.0,4.0,6.0,4.0,6.0,5.0,6.0,9.0,13.0,9.0,8.0,8.0,6.0,7.0,9.0,4.0,9.0,10.0,8.0,17.0,9.0,14.0,12.0,5.0,5.0,16.0,14.0,9.0,9.0,13.0,12.0,14.0,15.0,9.0,15.0,8.0,10.0,5.0,12.0,12.0,10.0,8.0,7.0,9.0,11.0
'anchor system',7.0,2.0,1.0,5.0,3.0,5.0,1.0,5.0,0.0,5.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,7.0,3.0,5.0,5.0,13.0,9.0,11.0,15.0,19.0,16.0,13.0,9.0,7.0,8.0,10.0,10.0,10.0,6.0,13.0,23.0,20.0,16.0,14.0,13.0,6.0,10.0,7.0,10.0,8.0,13.0,18.0,11.0,9.0,10.0,5.0
